Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/cql/AbstractModification;0;6;1;139;10;1;2;6;11;45;2;4;10;1.11;56;0.83;0;0;0.30;0;0;4
org/apache/cassandra/cql/AlterTableStatement;0;2;2;11;4;1;0;4;5;6;0;4;4;1.33;28;0;1;0;0.75;0;0;5
org/apache/cassandra/cql/Attributes;0;1;1;0;9;1;0;5;10;36;4;1;9;1.13;57;1;0;0;0.42;0;0;5
org/apache/cassandra/cql/BatchStatement;0;5;1;171;7;1;0;4;8;21;0;4;7;1.17;46;1;0;0;0.31;0;0;5
org/apache/cassandra/cql/BatchUpdateStatement;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/cql/CreateColumnFamilyStatement;0;9;3;99;16;1;0;5;17;120;0;5;8;1.07;119;0.96;0;0;0.28;0;0;5
org/apache/cassandra/cql/CreateKeyspaceStatement;0;1;1;21;5;1;0;1;6;10;0;1;5;1.25;34;1;0;0;0.47;0;0;5
org/apache/cassandra/cql/DeleteStatement;0;7;1;142;8;0;0;5;9;28;0;5;8;1.14;50;1;0;0;0.34;0;0;5
org/apache/cassandra/cql/DropIndexStatement;0;1;1;0;3;1;0;4;4;3;0;4;2;1.50;19;0;0;0;0.67;0;0;5
org/apache/cassandra/cql/Operation;0;1;1;0;4;1;0;2;6;0;0;2;4;0.11;74;0;3;0;0.58;0;0;16.75
org/apache/cassandra/cql/QueryProcessor;0;21;3;753;26;1;0;19;27;325;1;18;6;1.40;159;0.67;0;0;0.10;0;0;5
org/apache/cassandra/cql/SelectExpression;0;1;1;10;14;1;0;2;19;49;1;1;13;0.86;137;0.75;2;0;0.42;0;0;8.21
org/apache/cassandra/cql/SelectStatement;0;4;1;37;24;1;0;7;25;276;1;6;24;1.04;150;1;2;0;0.16;0;0;5
org/apache/cassandra/cql/StatementType;0;5;1;10;4;2;0;1;9;4;1;0;2;0.98;199;0.12;15;0.87;0.44;1;1;44.50
org/apache/cassandra/cql/Term;0;2;1;41;10;1;0;10;11;45;7;3;9;1.11;62;1;1;0;0.27;1;1;5
org/apache/cassandra/cql/UpdateStatement;0;8;2;349;14;0;0;8;15;91;0;8;13;1.08;88;1;0;0;0.27;0;0;5
org/apache/cassandra/cql/WhereClause;0;5;1;111;16;1;0;7;36;38;1;6;16;0.78;238;1;2;0;0.23;0;0;13.38
src/org/apache/cassandra/cql/jdbc/AbstractResultSet;0;2;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
src/org/apache/cassandra/cql/jdbc/CassandraConnection;0;1;1;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
src/org/apache/cassandra/cql/jdbc/CassandraPreparedStatement;0;2;1;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
src/org/apache/cassandra/cql/jdbc/CassandraResultSet;0;5;2;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
src/org/apache/cassandra/cql/jdbc/CassandraResultSetMetaData;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
src/org/apache/cassandra/cql/jdbc/CassandraStatement;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
src/org/apache/cassandra/cql/jdbc/ColumnDecoder;0;6;2;257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
src/org/apache/cassandra/cql/jdbc/ColumnMetaData;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
src/org/apache/cassandra/cql/jdbc/CResultSet;0;3;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
src/org/apache/cassandra/cql/jdbc/TypedColumn;0;4;2;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
src/org/apache/cassandra/cql/jdbc/Utils;0;1;1;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test/org/apache/cassandra/cql/jdbc/PreparedStatementTest;0;1;1;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test/org/apache/cassandra/cql/JdbcDriverTest;0;5;2;269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
